GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianSnovaEncodedParser,0,42,0,2,0,9,0,5,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId,10,119,2,2,2,46,2,5,0,5
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCompositeKeyPairGenerator,41,343,2,18,11,75,3,16,1,8
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianSABEREncodedParser,0,42,0,2,0,9,0,5,0,4
GordianKnot Security Framework,SevenZip,LzmaBench.CProgressInfo,24,0,4,0,6,0,5,0,3,0
GordianKnot Security Framework,SevenZip,LzmaBench.MyOutputStream,41,0,2,0,11,0,5,0,4,0
GordianKnot Security Framework,SevenZip,LzmaBench.CRandomGenerator,44,0,0,0,3,0,3,0,3,0
GordianKnot Security Framework,SevenZip,LzmaBench,457,0,34,0,112,0,27,0,10,0
GordianKnot Security Framework,SevenZip,LzmaBench.CBenchRandomGenerator,173,0,16,0,30,0,16,0,8,0
GordianKnot Security Framework,SevenZip,LzmaBench.CrcOutStream,33,0,0,0,11,0,6,0,6,0
GordianKnot Security Framework,SevenZip,LzmaAlone.CommandLine,281,0,52,0,83,0,29,0,3,0
GordianKnot Security Framework,SevenZip,LzmaAlone,279,0,42,0,69,0,24,0,3,0
GordianKnot Security Framework,SevenZip,LzmaBench.CBitRandomGenerator,81,0,2,0,17,0,4,0,3,0
GordianKnot Security Framework,SevenZip,CRC,125,0,10,0,23,0,12,0,7,0
GordianKnot Security Framework,SevenZip,LzmaBench.MyInputStream,33,0,2,0,9,0,4,0,3,0
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.exc,GordianCryptoException,5,0,0,0,2,0,1,0,1,0
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.exc,GordianIOException,5,0,0,0,2,0,1,0,1,0
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.exc,GordianDataException,5,4,0,0,2,2,1,1,1,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.exc,GordianLogicException,0,4,0,0,0,2,0,1,0,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.spec.agree,GordianCoreAgreementSpecBuilder,0,303,1,12,0,63,1,18,0,10
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.spec.agree,GordianCoreAgreementKDF,29,181,12,38,7,34,10,33,2,12
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.spec.agree,GordianCoreAgreementSpec,22,201,11,25,5,41,12,21,1,14
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.spec.agree,GordianCoreAgreementType,29,188,11,30,9,46,9,35,2,19
